id,menu_access/id,menu_access/name
,iac_forecast_release_to_vendor.menu_confirm_data_temp,FCST Release History
,iac_forecast_release_to_vendor.menu_vendor_upload_lt_web,Reply
,iac_forecast_release_to_vendor.menu_buyer_fcst_delivery_report,Buyer Fill Form
,iac_forecast_release_to_vendor.menu_buyer_upload_lt,Buyer Upload
,iac_forecast_release_to_vendor.menu_vendor_forecast_delivery_report,Vendor Fill Form
,iac_forecast_release_to_vendor.menu_vendor_upload_lt,Vendor Upload
,iac_forecast_release_to_vendor.menu_tvendor_upload,History
,iac_forecast_release_to_vendor.menu_vendor_psi_report,Vendor PSI Report
,iac_forecast_release_to_vendor.menu_internal_psi_report,Internal PSI Report
,,
oscg_vendor.IAC_buyer_groups,iac_forecast_release_to_vendor.main_forecastrelease_menu,Forecast Release
,iac_forecast_release_to_vendor.forecastrelease_menu,Forecast Release
,iac_forecast_release_to_vendor.menu_wizard_buyerconfirm,Adjust
,iac_forecast_release_to_vendor.menu_buyer_fcst_report,Buyer Download FCST
,iac_forecast_release_to_vendor.menu_fcst_upload,FCST Upload
,iac_forecast_release_to_vendor.menu_raw_data_temp,Release
,iac_forecast_release_to_vendor.menu_confirm_data,FCST Release Current
,iac_forecast_release_to_vendor.menu_confirm_data_temp,FCST Release History
,iac_forecast_release_to_vendor.delivery_upload_menu,Supply Plan
,iac_forecast_release_to_vendor.menu_vendor_upload_lt_web,Reply
,iac_forecast_release_to_vendor.menu_buyer_fcst_delivery_report,Buyer Fill Form
,iac_forecast_release_to_vendor.menu_buyer_upload_lt,Buyer Upload
,iac_forecast_release_to_vendor.menu_tvendor_upload,History
,iac_forecast_release_to_vendor.psi_report_menu,PSI Report
,iac_forecast_release_to_vendor.menu_internal_psi_report,Internal PSI Report
,,
oscg_vendor.IAC_vendor_groups,iac_forecast_release_to_vendor.main_forecastrelease_menu,Forecast Release
,iac_forecast_release_to_vendor.delivery_upload_menu,Supply Plan
,iac_forecast_release_to_vendor.menu_vendor_upload_lt_web,Reply
,iac_forecast_release_to_vendor.menu_vendor_forecast_delivery_report,Vendor Fill Form
,iac_forecast_release_to_vendor.menu_vendor_upload_lt,Vendor Upload
,iac_forecast_release_to_vendor.menu_tvendor_upload,History
,iac_forecast_release_to_vendor.psi_report_menu,PSI Report
,iac_forecast_release_to_vendor.menu_vendor_psi_report,Vendor PSI Report
,,
oscg_vendor.IAC_buyer_groups,oscg_vendor.menu_vendor,Vendor
,oscg_vendor.menu_vendor_attachment,Doc Control
,oscg_vendor.menu_wizard_iac_vendor_register_attachment,Registration Doc
,oscg_vendor.menu_wizard_iac_vendor_attachment,Other Doc
,,
,,
oscg_vendor.group_report_GR,iac_report.main_report_menu,Report
,iac_report.G_R_menu,G/R
,iac_report.menu_max_qty,Max QTY allowed for ASN
,iac_report.menu_asn_report,ASN Report
,iac_report.menu_transit_asn,In-Transit ASN Price Changeable Report
,,
oscg_vendor.group_report_RFQ,iac_report.main_report_menu,Report
,iac_report.RFQ_menu,RFQ
,iac_report.menu_rfq_history,Report RFQ List RFQ History
,iac_report.menu_price_difference,´e§@§—´ÿRFQª˘ÆÊÆt≤ß™Ì
,,
,,
oscg_vendor.group_report_PO,iac_report.main_report_menu,Report
,iac_report.PO_menu,PO
,iac_report.menu_wizard_po_cancel_history,Po Cancel History
,iac_report.menu_wizard_po_unconfirm_detail,Po Unconfirm Detail
,iac_report.menu_wizard_po_change_payment_wizard,PO Payment/FOB Change History
,iac_report.supplier_exception_monitor_report,Supplier Exception Monitor
,iac_report.menu_wizard_po_unconfirm_summary,PO Unconfirmed Summary
,iac_report.menu_wizard_po_price_change_history,Po Price Change History
,iac_report.menu_purchase_group,Purchase_Group_List
,iac_report.menu_wizard_transverse_po,æÓ¶° PO ∏ÍÆ∆
,iac_report.menu_wizard_po_without_vendor_confirm,New PO without Vendor Confirm
,iac_report.menu_wizard_po_report,PO Report
,iac_report.menu_wizard_po_delete_state,ße≤{ßR∞£™¨∫A™∫ PO
,iac_report.menu_wizard_price_disagreement_report,OpenPOª˘ÆÊ©MInforeocrdª˘ÆÊ§£§@≠P≥¯™Ì
,iac_report.menu_wizard_comparison_report,∏Û?site PO©M?≥ÃßC?RFQ Price?§Ò∏˚™Ì
,,
,,
,,
oscg_vendor.IAC_vendor_groups,iac_report.main_report_menu,Report
,iac_report.PO_menu,PO
,iac_report.menu_wizard_payment_info,ºt∞”•I¥⁄¶©¥⁄©˙≤”¨d∏ﬂ
,,
oscg_vendor.IAC_CM_groups,iac_report.main_report_menu,Report
,iac_report.PO_menu,PO
,iac_report.menu_wizard_payment_info,ºt∞”•I¥⁄¶©¥⁄©˙≤”¨d∏ﬂ
,,
oscg_vendor.group_ep_administration,iac_vendor_evaluation.menu_vendor_evaluation,Vendor Evaluation
,iac_vendor_evaluation.menu_vendor_base_data,∞Ú¬¶∏ÍÆ∆
,iac_vendor_evaluation.menu_vendor_evaluation_operation,µ˚Æ÷ß@∑~
,iac_vendor_evaluation.menu_vendor_class,D Class ≥B≤z
,iac_vendor_evaluation.menu_vendor_material_type,ß˜Æ∆√˛ßO≥]©w
,iac_vendor_evaluation.menu_vendor_grading_project,µ˚§¿∂µ•ÿ∫˚≈@
,iac_vendor_evaluation.menu_vendor_maintenance,µ˚§¿∞œ∂°∏ÍÆ∆∫˚≈@
,iac_vendor_evaluation.menu_vendor_failure_cost,•¢±—¶®•ª∞œ∂°∏ÍÆ∆∫˚≈@
,iac_vendor_evaluation.menu_vendor_designated_personnel,´¸©wµ˚Æ÷§H≠˚
,iac_vendor_evaluation.menu_vendor_judges_score,µ˚Æ÷§H≠˚•¥§¿
